House Index,Address,Price,County,Room,Approx price per room
17. ,"41 St. Johns Road, Sandymount, Dublin 4",3490, Dublin 4,3 ,1163.33
18. ,"Joy Streets, Dublin 4",2500, Dublin 4,2,1250.00
19. ,"Cairnfort, Enniskerry Road, Stepaside, Dublin 18",3650, Dublin 18,4 ,912.50
20. ,"Foxrock Mount, Foxrock Park, Dublin 18, Foxrock, Dublin 18",3000, Dublin 18,4 ,750.00
21. ,"Abbotts Grove Avenue, Knocklyon, Dublin 16",2300, Dublin 16,3 ,766.67
22. ,"12 Wilfrid Terrace, Harold's Cross, Dublin 6w",2600, Dublin 6w,3 ,866.67
23. ,"Farmleigh Close, Castleknock, Dublin 15",2600, Dublin 15,5 ,520.00
24. ,"Ardoyne House, Pembroke Park, Ballsbridge, Dublin 4",4000, Dublin 4,4 ,1000.00
25. ,"Bullock Harbour, Dalkey, Co. Dublin",3250, Co. Dublin,4 ,812.50
26. ,"Torquay Road, Foxrock, Dublin 18",5250, Dublin 18,4 ,1312.50
27. ,"Waterloo Place, Ballsbridge, Dublin 4",3500, Dublin 4,2 ,1750.00
28. ,"Monaloe Avenue, Blackrock, Co. Dublin",2750, Co. Dublin,4,687.50
29. ,"Kingstown Mews, Park Lane, Sandycove, Co. Dublin",3750, Co. Dublin,4 ,937.50
30. ,"Bushy Park House, Terenure, Dublin 6w",5500, Dublin 6w,5 ,1100.00
31. ,"Grace Park View Grace Park Road, Dublin 9, Whitehall, Dublin 9",5500, Dublin 9,5 ,1100.00
32. ,"Nephin Road, Navan Road (D7), Dublin 7",2300, Dublin 7,3,766.67
33. ,"All Hallows Square, Drumcondra, Dublin 9",2500, Dublin 9,3 ,833.33
