House,Price,County,Room
"176. Kilnahera, Drimoleague, Co. Cork",750, Co. Cork,2
"177. 18 The Willows, Castlemagner, Co. Cork",950, Co. Cork,3 
"178. No. 40 The Courts, Compass Quay, Kinsale, Co Cork, Kinsale, Co. Cork",1500, Co. Cork,3 
"179. Inchafune, Dunmanway, Co. Cork",700, Co. Cork,2
"180. Caledonia, Ballinphellic, Waterfall, Co. Cork",1900, Co. Cork,4 
"181. Brookyn House, 2 Glensprings, Lower Kileens, Black, Killeens, Co. Cork",550, Co. Cork,3 
"182. 18 Radharc Na Sleibhte, Churchtown, Co. Cork",850, Co. Cork,4 
"183. newcestown, Bandon, Newcestown, Co. Cork",1500, Co. Cork,3 
"184. Derrylahan, Dunmanway, Co. Cork",700, Co. Cork,3 
"185. Knockaneroe 1, Kanturk, Co. Cork",800, Co. Cork,3
"186. 21 Meadowside, Dromina, Charleville, Co. Cork",800, Co. Cork,4 
"187. 21 Meadowside, Dromina, Co. Cork",800, Co. Cork,4 
"1. 27 Meadowhill, Kiltoy, Letterkenny., Letterkenny, Co. Donegal",850, Co. Donegal,5 
"2. Armada cottages, Bundoran, Co. Donegal",565, Co. Donegal,3 
"3. Lough Eske, Donegal Town, Co. Donegal",550, Co. Donegal,3
"4. 49 Cathedral Hill, Raphoe, Co. Donegal",600, Co. Donegal,3 
"5. 43 Forest Park, Killygordon, Co. Donegal",435, Co. Donegal,2 
"6. No 2 The Mill Cottage, Stranorlar, Co. Donegal",560, Co. Donegal,3 
"7. 36 Cuirt Aishling, Ballybofey, Co. Donegal",650, Co. Donegal,3 
"8. No 24 Cuirt Aishling, Ballybofey, Co. Donegal",694, Co. Donegal,5 
"9. 40 Ashfield, Letterkenny, Co. Donegal",700, Co. Donegal,3 
"10. Lisnenan Court, Letterkenny, Co. Donegal",900, Co. Donegal,4 
"11. Whitethorn Close, Letterkenny, Co. Donegal",900, Co. Donegal,4 
"12. 72 The Garden,Ballymacool, Letterkenny, Co. Donegal",650, Co. Donegal,3 
"13. 12 Dungarron, Gortlee, Letterkenny, Co. Donegal",800, Co. Donegal,4 
"14. 42 The Elms, Glencar, Letterkenny, Co. Donegal",850, Co. Donegal,4 
"15. 65 The Green, Ballymacool, Letterkenny, Co. Donegal",700, Co. Donegal,3 
"16. 29 Dun na Ri, Buncrana, Co. Donegal",600, Co. Donegal,3 
"17. 30 Clearwaters, Rathmullan, Co. Donegal",600, Co. Donegal,3 
"18. Fort Royal House, Rathmullan, Co. Donegal",1400, Co. Donegal,4 
"19. Porthall, Lifford, Co. Donegal",550, Co. Donegal,2
"20. Altnapaste Mill, Ballybofey, Co. Donegal",1250, Co. Donegal,4 
"21. 16 Stonebridge, Bridgend, Co. Donegal",750, Co. Donegal,4 
"22. 42 Millbrea, Meadows, Ballyloskey, Carndonagh, Co. Donegal",650, Co. Donegal,3 
"23. 65 The Green, Ballymacool, Letterkenny, Co. Donegal",700, Co. Donegal,3 
"24. 39 Glenoughty Close, Glencar, Letterkenny, Co. Donegal",750, Co. Donegal,3
"25. Porthall, Lifford, Co. Donegal",550, Co. Donegal,2
"26. 23 Ceanann View, Letterkenny, Co. Donegal",750, Co. Donegal,3 
"27. 19 Orchard Grove, Ramelton Rd, Letterkenny, Co. Donegal",900, Co. Donegal,5 
"28. Cottage Rahan, Letterkenny, Co. Donegal",480, Co. Donegal,
"29. 113 Thornberry, Letterkenny, Co. Donegal",750, Co. Donegal,4 
"30. Ceanann View, Carnamuggagh Upper, Letterkenny, Co. Donegal",650, Co. Donegal,3
"31. 42 Harmony Hill, Kiltoy, Letterkenny, Co. Donegal",700, Co. Donegal,3 
"32. Cratlagh Wood, Milford, Co. Donegal",750, Co. Donegal,4 
"33. 32 Greenfields, Convoy, Co. Donegal",650, Co. Donegal,4 
"34. 14 St Johns Park, Gransha Road, Buncrana, Co. Donegal",750, Co. Donegal,4 
"35. Durgan House, Ramelton, Co. Donegal",1995, Co. Donegal,5 
"36. 66 the grange letterkenny, Letterkenny, Co. Donegal",800, Co. Donegal,4 
"37. Coolmore, Rossnowlagh, Co. Donegal",430, Co. Donegal,6
"38. Ballinmore, Fintown, Co. Donegal",400, Co. Donegal,4 
"39. 36 Stoneybridge, Bridgend, Co. Donegal",650, Co. Donegal,3 
"40. An Gleann Rua, Letterkenny, Co. Donegal",700, Co. Donegal,4 
"41. The Green, Thornberry, Letterkenny, Co. Donegal",750, Co. Donegal,3 
"42. Beinn Aoibhinn, Letterkenny, Co. Donegal",900, Co. Donegal,4 
"43. Dooish View, Magheracloy, St. Johnston, Co. Donegal",600, Co. Donegal,3
"44. Hazelbrook Crescent, Letterkenny, Co. Donegal",650, Co. Donegal,3 
"45. Orchard Grove, Newtown Cunningham, Co. Donegal",700, Co. Donegal,3 
"46. Hollywell, Killea, Co. Donegal",560, Co. Donegal,2
"47. Lanalea House, Oldtown Road, Letterkenny, Co. Donegal",650, Co. Donegal,4 
"48. Lisnennan Court, Letterkenny, Co. Donegal",750, Co. Donegal,4 
"49. Rathmullan Cottage, Rathmullan, Co. Donegal",600, Co. Donegal,3 
"50. Loughanure, Loughanure, Co. Donegal",640, Co. Donegal,4 
"51. 1A Ard Lonan, Long Lane, Letterkenny, Co. Donegal",585, Co. Donegal,2
"52. 15A Glendale Manor, Glencar, Letterkenny, Co. Donegal",600, Co. Donegal,2
"53. 35 Ash Meadows, Stranorlar, Co. Donegal",560, Co. Donegal,3 
"54. No 7 Laganore, Port Na Blagh, Dunfanaghy, Co. Donegal",550, Co. Donegal,3 
"55. Drumatinney, Falcarragh, Co. Donegal",550, Co. Donegal,6 
"56. Barnes, Termon, Co. Donegal",500, Co. Donegal,3 
"57. Magheraroarty, Gortahork, Co. Donegal",500, Co. Donegal,3
"58. Balliness, Falcarragh, Co. Donegal",450, Co. Donegal,3
"59. Ards, Creeslough, Co. Donegal",500, Co. Donegal,3
