House,Price,County
"17. 76 Clonmore, Hale Steet, Ardee, Co. Louth",950, Co. Louth
"18. North Road, Drogheda, Co. Louth",1000, Co. Louth
"19. Greenhills, Drogheda, Co. Louth",800, Co. Louth
"20. The Saltings, Annagassan, Co. Louth",1300, Co. Louth
"1. American Street, Belmullet, Co. Mayo",450, Co. Mayo
"2. 17 hopkins road castlebar, Castlebar, Co. Mayo",720, Co. Mayo
"3. Chapel st., Castlebar, Co. Mayo",620, Co. Mayo
"4. Newline, Castlebar, Co. Mayo",800, Co. Mayo
"5. Esker Meadows, Knock, Co. Mayo",480, Co. Mayo
"6. Cuslough, Castlebar, Co. Mayo",800, Co. Mayo
"7. Mall Mews House, Rock Square, Castlebar, Co. Mayo",750, Co. Mayo
"8. Chamber Court, Cavendsh Lane, Castlebar, Co. Mayo",700, Co. Mayo
"9. Humbert Mall, Castlebar, Co. Mayo",440, Co. Mayo
"10. Turlough Village, Castlebar, Co. Mayo",700, Co. Mayo
"11. Cherrytree Avenue, Quay Road, Westport, Co. Mayo",500, Co. Mayo
"12. The Residences, Breaffy, Castlebar, Co. Mayo",750, Co. Mayo
"13. Clogher, Claremorris, Co. Mayo",520, Co. Mayo
"14. The Lodges ,Breaffy House Resort, Castlebar, Co. Mayo",675, Co. Mayo
"15. Nephin Halls, Castlebar, Co. Mayo",700, Co. Mayo
"16. Chapel St, Castlebar, Co. Mayo",585, Co. Mayo
"17. 23 Silverbridge, Claremorris, Co. Mayo",800, Co. Mayo
"18. Breaffy Woods, Castlebar, Co. Mayo",650, Co. Mayo
"19. Riverwalk, Crossmolina, Co. Mayo",480, Co. Mayo
"20. Abbey park, Abbey Street, Ballina, Co. Mayo",600, Co. Mayo
"1. Victorine Abbey, Dublin Road, Trim, Co. Meath",1200, Co. Meath
"2. Academy Square, Academy Street, Navan, Co. Meath",1400, Co. Meath
"3. Ledwidge Hall, Slane, Co. Meath",1300, Co. Meath
"4. Neptune Beach Apartments, Bettystown, Co. Meath",1800, Co. Meath
"5. The Courtyard, Dunshaughlin, Co. Meath",1300, Co. Meath
"6. Corballis Demesne, Ratoath, Co. Meath",1340, Co. Meath
"7. moyvalley Hotel And Golf Resort, Enfield, Co. Meath",1200, Co. Meath
